,trackId,frame,xCenter,yCenter,heading,xVelocity,yVelocity,xAcceleration,yAcceleration,class
284,2,0,72.63041,-62.63857,138.93749,-1.10904,0.94138,-0.03991,0.07657,pedestrian
285,2,1,72.58649,-62.60088,138.91836,-1.11259,0.94531,-0.03782,0.0767,pedestrian
286,2,2,72.54269,-62.56291,138.89337,-1.11635,0.94922,-0.03406,0.07614,pedestrian
287,2,3,72.49833,-62.52493,138.86264,-1.12009,0.95312,-0.02845,0.07491,pedestrian
288,2,4,72.45335,-62.48681,138.82631,-1.12354,0.957,-0.02097,0.07298,pedestrian
289,2,5,72.40763,-62.44846,138.78449,-1.12639,0.9608,-0.01175,0.07035,pedestrian
290,2,6,72.3616,-62.40943,138.73731,-1.12848,0.96427,-0.00108,0.0671,pedestrian
291,2,7,72.31491,-62.36991,138.68491,-1.12953,0.96726,0.01063,0.06347,pedestrian
292,2,8,72.26773,-62.33026,138.62742,-1.1293,0.96974,0.02283,0.05974,pedestrian
293,2,9,72.22082,-62.29057,138.56498,-1.12788,0.97172,0.03491,0.05619,pedestrian
294,2,10,72.17434,-62.25105,138.49774,-1.12543,0.97333,0.04636,0.05306,pedestrian
295,2,11,72.12832,-62.21175,138.42585,-1.1221,0.97467,0.0568,0.05051,pedestrian
296,2,12,72.08288,-62.17271,138.34947,-1.11811,0.97592,0.06596,0.04857,pedestrian
297,2,13,72.03797,-62.13394,138.26875,-1.11366,0.9772,0.07371,0.04721,pedestrian
298,2,14,71.9935,-62.09522,138.18386,-1.10891,0.97859,0.08001,0.04631,pedestrian
299,2,15,71.94924,-62.05664,138.09497,-1.10391,0.98019,0.08488,0.04571,pedestrian
300,2,16,71.90537,-62.01791,138.00225,-1.09882,0.98197,0.08835,0.04522,pedestrian
301,2,17,71.86177,-61.97894,137.90586,-1.09369,0.98387,0.0905,0.04473,pedestrian
302,2,18,71.81828,-61.93959,137.80599,-1.08855,0.98577,0.0914,0.04415,pedestrian
303,2,19,71.77478,-61.89977,137.7028,-1.08337,0.9875,0.09109,0.04355,pedestrian
304,2,20,71.73121,-61.85947,137.59647,-1.07807,0.9889,0.0895,0.0431,pedestrian
305,2,21,71.68778,-61.81885,137.48717,-1.07268,0.98987,0.08652,0.04308,pedestrian
306,2,22,71.64473,-61.77825,137.37507,-1.06733,0.99045,0.08207,0.04383,pedestrian
307,2,23,71.60222,-61.73788,137.26032,-1.0622,0.99077,0.07613,0.0456,pedestrian
308,2,24,71.56028,-61.69784,137.1431,-1.05751,0.99102,0.06879,0.04858,pedestrian
309,2,25,71.5189,-61.65805,137.02354,-1.05345,0.99133,0.06026,0.05284,pedestrian
310,2,26,71.47804,-61.61854,136.9018,-1.05023,0.9919,0.05089,0.05836,pedestrian
311,2,27,71.43758,-61.57921,136.77803,-1.04799,0.99284,0.04112,0.06507,pedestrian
312,2,28,71.39738,-61.53998,136.65236,-1.04681,0.99427,0.03145,0.0728,pedestrian
313,2,29,71.35718,-61.50084,136.52493,-1.04668,0.99628,0.02241,0.08136,pedestrian
314,2,30,71.31623,-61.46196,136.39588,-1.04727,0.99905,0.01442,0.09048,pedestrian
315,2,31,71.27491,-61.42284,136.26532,-1.0484,1.00254,0.00771,0.09984,pedestrian
316,2,32,71.23325,-61.38344,136.1334,-1.04991,1.00673,0.00241,0.10917,pedestrian
317,2,33,71.19121,-61.3436,136.00025,-1.05161,1.0115,-0.00144,0.11826,pedestrian
318,2,34,71.14902,-61.30351,135.86601,-1.05342,1.01681,-0.00388,0.12696,pedestrian
319,2,35,71.10675,-61.26322,135.7308,-1.05528,1.02267,-0.00493,0.13512,pedestrian
