,trackId,frame,xCenter,yCenter,heading,xVelocity,yVelocity,xAcceleration,yAcceleration,class
219133,71,3489,62.21685,-68.57303,121.23058,-0.84068,1.45473,-0.20923,-0.02208,pedestrian
219134,71,3490,62.18323,-68.51472,121.24963,-0.8506,1.45545,-0.21097,-0.02512,pedestrian
219135,71,3491,62.14921,-68.45639,121.27185,-0.86065,1.456,-0.21144,-0.02941,pedestrian
219136,71,3492,62.11469,-68.3978,121.29717,-0.87076,1.45622,-0.2106,-0.03489,pedestrian
219137,71,3493,62.07965,-68.33906,121.32535,-0.88081,1.45602,-0.20845,-0.0414,pedestrian
219138,71,3494,62.04405,-68.27992,121.35614,-0.89071,1.45518,-0.20502,-0.04872,pedestrian
219139,71,3495,62.00802,-68.22065,121.3893,-0.90036,1.45361,-0.2004,-0.05652,pedestrian
219140,71,3496,61.97167,-68.16152,121.42459,-0.90976,1.45131,-0.19463,-0.06445,pedestrian
219141,71,3497,61.93492,-68.10239,121.46178,-0.91885,1.44825,-0.18779,-0.07218,pedestrian
219142,71,3498,61.89785,-68.04335,121.50061,-0.92761,1.44441,-0.17993,-0.07932,pedestrian
219143,71,3499,61.86041,-67.98438,121.54085,-0.93596,1.43978,-0.17111,-0.08551,pedestrian
219144,71,3500,61.8227,-67.92559,121.58227,-0.94392,1.4344,-0.16139,-0.09033,pedestrian
219145,71,3501,61.78472,-67.86783,121.62463,-0.95144,1.42864,-0.15079,-0.09351,pedestrian
219146,71,3502,61.74661,-67.8108,121.66772,-0.95857,1.42277,-0.13933,-0.09497,pedestrian
219147,71,3503,61.70811,-67.75391,121.71131,-0.96522,1.41682,-0.12699,-0.09473,pedestrian
219148,71,3504,61.66926,-67.69742,121.75519,-0.97133,1.41092,-0.11382,-0.09278,pedestrian
219149,71,3505,61.63008,-67.64197,121.79916,-0.97681,1.40547,-0.09986,-0.08929,pedestrian
219150,71,3506,61.59066,-67.58779,121.84303,-0.98162,1.40094,-0.0852,-0.08472,pedestrian
